friend,title,year,rating,tags
narmacil,Birdman,2014,9,"['Dramat', 'Komedia']"
narmacil,Tylko kochankowie prze¿yj¹,2013,7,"['Horror', 'Romans']"
narmacil,Hobbit: Bitwa Piêciu Armii,2014,5,"['Fantasy', 'Przygodowy']"
narmacil,Gra tajemnic,2014,6,"['Biograficzny', 'Dramat']"
narmacil,Exodus: Bogowie i królowie,2014,3,"['Dramat', 'Przygodowy', 'Biblijny']"
narmacil,Foxcatcher,2014,7,"['Biograficzny', 'Dramat', 'Sportowy']"
narmacil,Pod skór¹,2013,6,"['Thriller', 'Sci-Fi']"
narmacil,Whiplash,2014,7,"['Dramat', 'Muzyczny']"
narmacil,Wielki Gatsby,2013,5,['Melodramat']
narmacil,Œmiertelnie proste,1984,8,"['Dramat', 'Thriller']"
narmacil,Sierpieñ w hrabstwie Osage,2013,7,"['Dramat', 'Komedia']"
narmacil,Bogowie,2014,6,"['Biograficzny', 'Dramat']"
narmacil,Tramwaj zwany po¿¹daniem,1951,7,['Dramat']
narmacil,Wolny strzelec,2014,4,"['Dramat', 'Krymina³']"
narmacil,Wstrêt,1965,8,"['Dramat', 'Psychologiczny']"
narmacil,Zrywa siê wiatr,2013,8,"['Biograficzny', 'Dramat', 'Anime']"
narmacil,Jodorowsky's Dune,2013,7,"['Dokumentalny', 'Sci-Fi']"
narmacil,Ma³a Miss,2006,9,"['Dramat', 'Komedia']"
narmacil,Scena zbrodni,2012,7,['Dokumentalny']
narmacil,Interstellar,2014,8,['Sci-Fi']
narmacil,Wœciek³y byk,1980,9,"['Biograficzny', 'Dramat']"
narmacil,Ida,2013,6,['Dramat']
narmacil,Braveheart - Waleczne Serce,1995,5,['Dramat historyczny']
narmacil,Zielona mila,1999,6,['Dramat']
narmacil,¯¹d³o,1973,8,['Komedia kryminalna']
narmacil,Absolwent,1967,8,['Dramat obyczajowy']
narmacil,Powrót do Garden State,2004,7,"['Dramat', 'Komedia', 'Romans']"
narmacil,Zaginiona dziewczyna,2014,7,"['Dramat', 'Thriller']"
narmacil,W stronê s³oñca,2007,4,['Sci-Fi']
narmacil,Gattaca - Szok przysz³oœci,1997,6,"['Melodramat', 'Thriller', 'Sci-Fi']"
narmacil,Miasto 44,2014,4,"['Dramat', 'Wojenny']"
narmacil,Skandalista Larry Flynt,1996,6,"['Biograficzny', 'Dramat']"
narmacil,Szeregowiec Ryan,1998,7,"['Dramat', 'Wojenny']"
narmacil,¯ycie jest piêkne,1997,7,"['Dramat', 'Komedia', 'Wojenny']"
narmacil,Rozmowa,1974,9,"['Dramat', 'Thriller']"
narmacil,Mad Max,1979,2,"['Sensacyjny', 'Sci-Fi']"
narmacil,Spragnieni mi³oœci,2000,8,['Melodramat']
narmacil,Spirited Away: W krainie Bogów,2001,7,"['Fantasy', 'Przygodowy', 'Anime']"
narmacil,Boyhood,2014,9,['Dramat']
narmacil,Bardzo poszukiwany cz³owiek,2014,5,['Thriller']
narmacil,Stra¿nicy Galaktyki,2014,7,"['Akcja', 'Sci-Fi']"
narmacil,Pluton,1986,8,"['Dramat', 'Wojenny']"
narmacil,Ewolucja planety ma³p,2014,7,"['Dramat', 'Akcja', 'Sci-Fi']"
narmacil,Batman DCU: Syn Batmana,2014,3,"['Animacja', 'Akcja']"
